month,currency,exchange_rate,description
2014-02,Sterling Pound,2.097,Singapore Dollar Per Pound Sterling
2014-03,Sterling Pound,2.1065,Singapore Dollar Per Pound Sterling
2014-04,Sterling Pound,2.1016,Singapore Dollar Per Pound Sterling
2014-05,Sterling Pound,2.1089,Singapore Dollar Per Pound Sterling
2014-06,Sterling Pound,2.1152,Singapore Dollar Per Pound Sterling
2014-07,Sterling Pound,2.1242,Singapore Dollar Per Pound Sterling
2014-08,Sterling Pound,2.0864,Singapore Dollar Per Pound Sterling
2014-09,Sterling Pound,2.0609,Singapore Dollar Per Pound Sterling
2014-10,Sterling Pound,2.0492,Singapore Dollar Per Pound Sterling
2014-11,Sterling Pound,2.0454,Singapore Dollar Per Pound Sterling
2014-12,Sterling Pound,2.0566,Singapore Dollar Per Pound Sterling
2015-01,Sterling Pound,2.0276,Singapore Dollar Per Pound Sterling
2015-02,Sterling Pound,2.0736,Singapore Dollar Per Pound Sterling
2015-03,Sterling Pound,2.0642,Singapore Dollar Per Pound Sterling
2015-04,Sterling Pound,2.0166,Singapore Dollar Per Pound Sterling
2015-05,Sterling Pound,2.0653,Singapore Dollar Per Pound Sterling
2015-06,Sterling Pound,2.0959,Singapore Dollar Per Pound Sterling
2015-07,Sterling Pound,2.1173,Singapore Dollar Per Pound Sterling
2015-08,Sterling Pound,2.1849,Singapore Dollar Per Pound Sterling
2015-09,Sterling Pound,2.1717,Singapore Dollar Per Pound Sterling
2015-10,Sterling Pound,2.149,Singapore Dollar Per Pound Sterling
2015-11,Sterling Pound,2.1497,Singapore Dollar Per Pound Sterling
2015-12,Sterling Pound,2.1122,Singapore Dollar Per Pound Sterling
2016-01,Sterling Pound,2.0659,Singapore Dollar Per Pound Sterling
2016-02,Sterling Pound,2.0115,Singapore Dollar Per Pound Sterling
2016-03,Sterling Pound,1.9556,Singapore Dollar Per Pound Sterling
2016-04,Sterling Pound,1.932,Singapore Dollar Per Pound Sterling
2016-05,Sterling Pound,1.9918,Singapore Dollar Per Pound Sterling
2016-06,Sterling Pound,1.924,Singapore Dollar Per Pound Sterling
2016-07,Sterling Pound,1.7799,Singapore Dollar Per Pound Sterling
2016-08,Sterling Pound,1.7672,Singapore Dollar Per Pound Sterling
2016-09,Sterling Pound,1.7881,Singapore Dollar Per Pound Sterling
2016-10,Sterling Pound,1.7095,Singapore Dollar Per Pound Sterling
2016-11,Sterling Pound,1.7527,Singapore Dollar Per Pound Sterling
2016-12,Sterling Pound,1.7934,Singapore Dollar Per Pound Sterling
2017-01,Sterling Pound,1.7609,Singapore Dollar Per Pound Sterling
2017-02,Sterling Pound,1.7681,Singapore Dollar Per Pound Sterling
2017-03,Sterling Pound,1.7342,Singapore Dollar Per Pound Sterling
2017-04,Sterling Pound,1.7659,Singapore Dollar Per Pound Sterling
2017-05,Sterling Pound,1.8018,Singapore Dollar Per Pound Sterling
2017-06,Sterling Pound,1.7717,Singapore Dollar Per Pound Sterling
2017-07,Sterling Pound,1.7823,Singapore Dollar Per Pound Sterling
2017-08,Sterling Pound,1.7649,Singapore Dollar Per Pound Sterling
2017-09,Sterling Pound,1.7971,Singapore Dollar Per Pound Sterling
2017-10,Sterling Pound,1.7968,Singapore Dollar Per Pound Sterling
2017-11,Sterling Pound,1.793,Singapore Dollar Per Pound Sterling
2017-12,Sterling Pound,1.8057,Singapore Dollar Per Pound Sterling
2018-01,Sterling Pound,1.8249,Singapore Dollar Per Pound Sterling
2018-02,Sterling Pound,1.8454,Singapore Dollar Per Pound Sterling
2018-03,Sterling Pound,1.8367,Singapore Dollar Per Pound Sterling
2018-04,Sterling Pound,1.8526,Singapore Dollar Per Pound Sterling
2018-05,Sterling Pound,1.8048,Singapore Dollar Per Pound Sterling
2018-06,Sterling Pound,1.791,Singapore Dollar Per Pound Sterling
2018-07,Sterling Pound,1.7955,Singapore Dollar Per Pound Sterling
2018-08,Sterling Pound,1.7635,Singapore Dollar Per Pound Sterling
2018-09,Sterling Pound,1.7898,Singapore Dollar Per Pound Sterling
2018-10,Sterling Pound,1.7955,Singapore Dollar Per Pound Sterling
2018-11,Sterling Pound,1.7742,Singapore Dollar Per Pound Sterling
2018-12,Sterling Pound,1.7357,Singapore Dollar Per Pound Sterling
2019-01,Sterling Pound,1.7485,Singapore Dollar Per Pound Sterling
2019-02,Sterling Pound,1.7607,Singapore Dollar Per Pound Sterling
2019-03,Sterling Pound,1.785,Singapore Dollar Per Pound Sterling
2019-04,Sterling Pound,1.7678,Singapore Dollar Per Pound Sterling
2019-05,Sterling Pound,1.7623,Singapore Dollar Per Pound Sterling
2019-06,Sterling Pound,1.7273,Singapore Dollar Per Pound Sterling
2019-07,Sterling Pound,1.6986,Singapore Dollar Per Pound Sterling
2019-08,Sterling Pound,1.6832,Singapore Dollar Per Pound Sterling
2019-09,Sterling Pound,1.7039,Singapore Dollar Per Pound Sterling
2019-10,Sterling Pound,1.7295,Singapore Dollar Per Pound Sterling
2019-11,Sterling Pound,1.7546,Singapore Dollar Per Pound Sterling
2019-12,Sterling Pound,1.7796,Singapore Dollar Per Pound Sterling
2020-01,Sterling Pound,1.7662,Singapore Dollar Per Pound Sterling
2020-02,Sterling Pound,1.8023,Singapore Dollar Per Pound Sterling
2020-03,Sterling Pound,1.7531,Singapore Dollar Per Pound Sterling
2020-04,Sterling Pound,1.7673,Singapore Dollar Per Pound Sterling
2020-05,Sterling Pound,1.7433,Singapore Dollar Per Pound Sterling
2020-06,Sterling Pound,1.7464,Singapore Dollar Per Pound Sterling
2020-07,Sterling Pound,1.7545,Singapore Dollar Per Pound Sterling
2020-08,Sterling Pound,1.7988,Singapore Dollar Per Pound Sterling
1988-01,Malaysian Ringgit,0.7976,Singapore Dollar Per Malaysian Ringgit
1988-02,Malaysian Ringgit,0.7824,Singapore Dollar Per Malaysian Ringgit
1988-03,Malaysian Ringgit,0.784,Singapore Dollar Per Malaysian Ringgit
1988-04,Malaysian Ringgit,0.7785,Singapore Dollar Per Malaysian Ringgit
1988-05,Malaysian Ringgit,0.778,Singapore Dollar Per Malaysian Ringgit
1988-06,Malaysian Ringgit,0.7841,Singapore Dollar Per Malaysian Ringgit
1988-07,Malaysian Ringgit,0.7794,Singapore Dollar Per Malaysian Ringgit
1988-08,Malaysian Ringgit,0.7699,Singapore Dollar Per Malaysian Ringgit
1988-09,Malaysian Ringgit,0.7658,Singapore Dollar Per Malaysian Ringgit
1988-10,Malaysian Ringgit,0.7548,Singapore Dollar Per Malaysian Ringgit
1988-11,Malaysian Ringgit,0.7328,Singapore Dollar Per Malaysian Ringgit
1988-12,Malaysian Ringgit,0.7216,Singapore Dollar Per Malaysian Ringgit
1989-01,Malaysian Ringgit,0.7134,Singapore Dollar Per Malaysian Ringgit
1989-02,Malaysian Ringgit,0.7059,Singapore Dollar Per Malaysian Ringgit
1989-03,Malaysian Ringgit,0.7049,Singapore Dollar Per Malaysian Ringgit
1989-04,Malaysian Ringgit,0.7159,Singapore Dollar Per Malaysian Ringgit
1989-05,Malaysian Ringgit,0.7259,Singapore Dollar Per Malaysian Ringgit
1989-06,Malaysian Ringgit,0.7228,Singapore Dollar Per Malaysian Ringgit
1989-07,Malaysian Ringgit,0.7304,Singapore Dollar Per Malaysian Ringgit
1989-08,Malaysian Ringgit,0.7305,Singapore Dollar Per Malaysian Ringgit
1989-09,Malaysian Ringgit,0.7322,Singapore Dollar Per Malaysian Ringgit
1989-10,Malaysian Ringgit,0.7282,Singapore Dollar Per Malaysian Ringgit
1989-11,Malaysian Ringgit,0.7246,Singapore Dollar Per Malaysian Ringgit
1989-12,Malaysian Ringgit,0.7094,Singapore Dollar Per Malaysian Ringgit
1990-01,Malaysian Ringgit,0.6988,Singapore Dollar Per Malaysian Ringgit
1990-02,Malaysian Ringgit,0.6895,Singapore Dollar Per Malaysian Ringgit
1990-03,Malaysian Ringgit,0.691,Singapore Dollar Per Malaysian Ringgit
1990-04,Malaysian Ringgit,0.689,Singapore Dollar Per Malaysian Ringgit
1990-05,Malaysian Ringgit,0.6875,Singapore Dollar Per Malaysian Ringgit
1990-06,Malaysian Ringgit,0.6814,Singapore Dollar Per Malaysian Ringgit
1990-07,Malaysian Ringgit,0.6729,Singapore Dollar Per Malaysian Ringgit
1990-08,Malaysian Ringgit,0.6644,Singapore Dollar Per Malaysian Ringgit
1990-09,Malaysian Ringgit,0.655,Singapore Dollar Per Malaysian Ringgit
1990-10,Malaysian Ringgit,0.6398,Singapore Dollar Per Malaysian Ringgit
1990-11,Malaysian Ringgit,0.6341,Singapore Dollar Per Malaysian Ringgit
1990-12,Malaysian Ringgit,0.6388,Singapore Dollar Per Malaysian Ringgit
1991-01,Malaysian Ringgit,0.6428,Singapore Dollar Per Malaysian Ringgit
1991-02,Malaysian Ringgit,0.6367,Singapore Dollar Per Malaysian Ringgit
1991-03,Malaysian Ringgit,0.641,Singapore Dollar Per Malaysian Ringgit
1991-04,Malaysian Ringgit,0.6434,Singapore Dollar Per Malaysian Ringgit
1991-05,Malaysian Ringgit,0.6412,Singapore Dollar Per Malaysian Ringgit
1991-06,Malaysian Ringgit,0.6395,Singapore Dollar Per Malaysian Ringgit
1991-07,Malaysian Ringgit,0.6302,Singapore Dollar Per Malaysian Ringgit
1991-08,Malaysian Ringgit,0.6212,Singapore Dollar Per Malaysian Ringgit
1991-09,Malaysian Ringgit,0.6169,Singapore Dollar Per Malaysian Ringgit
1991-10,Malaysian Ringgit,0.6165,Singapore Dollar Per Malaysian Ringgit
1991-11,Malaysian Ringgit,0.6097,Singapore Dollar Per Malaysian Ringgit
1991-12,Malaysian Ringgit,0.6003,Singapore Dollar Per Malaysian Ringgit
1992-01,Malaysian Ringgit,0.607,Singapore Dollar Per Malaysian Ringgit
1992-02,Malaysian Ringgit,0.629,Singapore Dollar Per Malaysian Ringgit
1992-03,Malaysian Ringgit,0.6436,Singapore Dollar Per Malaysian Ringgit
1992-04,Malaysian Ringgit,0.6489,Singapore Dollar Per Malaysian Ringgit
1992-05,Malaysian Ringgit,0.6498,Singapore Dollar Per Malaysian Ringgit
1992-06,Malaysian Ringgit,0.6446,Singapore Dollar Per Malaysian Ringgit
1992-07,Malaysian Ringgit,0.6455,Singapore Dollar Per Malaysian Ringgit
1992-08,Malaysian Ringgit,0.6437,Singapore Dollar Per Malaysian Ringgit
1992-09,Malaysian Ringgit,0.6386,Singapore Dollar Per Malaysian Ringgit
1992-10,Malaysian Ringgit,0.6414,Singapore Dollar Per Malaysian Ringgit
1992-11,Malaysian Ringgit,0.647,Singapore Dollar Per Malaysian Ringgit
1992-12,Malaysian Ringgit,0.638,Singapore Dollar Per Malaysian Ringgit
1993-01,Malaysian Ringgit,0.6361,Singapore Dollar Per Malaysian Ringgit
1993-02,Malaysian Ringgit,0.6262,Singapore Dollar Per Malaysian Ringgit
1993-03,Malaysian Ringgit,0.6308,Singapore Dollar Per Malaysian Ringgit
1993-04,Malaysian Ringgit,0.6293,Singapore Dollar Per Malaysian Ringgit
1993-05,Malaysian Ringgit,0.6288,Singapore Dollar Per Malaysian Ringgit
1993-06,Malaysian Ringgit,0.6292,Singapore Dollar Per Malaysian Ringgit
1993-07,Malaysian Ringgit,0.6308,Singapore Dollar Per Malaysian Ringgit
1993-08,Malaysian Ringgit,0.6309,Singapore Dollar Per Malaysian Ringgit
1993-09,Malaysian Ringgit,0.6271,Singapore Dollar Per Malaysian Ringgit
1993-10,Malaysian Ringgit,0.6171,Singapore Dollar Per Malaysian Ringgit
1993-11,Malaysian Ringgit,0.6247,Singapore Dollar Per Malaysian Ringgit
1993-12,Malaysian Ringgit,0.6216,Singapore Dollar Per Malaysian Ringgit
1994-01,Malaysian Ringgit,0.5918,Singapore Dollar Per Malaysian Ringgit
1994-02,Malaysian Ringgit,0.5744,Singapore Dollar Per Malaysian Ringgit
1994-03,Malaysian Ringgit,0.5825,Singapore Dollar Per Malaysian Ringgit
1994-04,Malaysian Ringgit,0.5814,Singapore Dollar Per Malaysian Ringgit
1994-05,Malaysian Ringgit,0.5916,Singapore Dollar Per Malaysian Ringgit
1994-06,Malaysian Ringgit,0.5904,Singapore Dollar Per Malaysian Ringgit
1994-07,Malaysian Ringgit,0.5837,Singapore Dollar Per Malaysian Ringgit
1994-08,Malaysian Ringgit,0.5869,Singapore Dollar Per Malaysian Ringgit
1994-09,Malaysian Ringgit,0.5824,Singapore Dollar Per Malaysian Ringgit
1994-10,Malaysian Ringgit,0.5771,Singapore Dollar Per Malaysian Ringgit
1994-11,Malaysian Ringgit,0.5736,Singapore Dollar Per Malaysian Ringgit
1994-12,Malaysian Ringgit,0.5718,Singapore Dollar Per Malaysian Ringgit
1995-01,Malaysian Ringgit,0.5686,Singapore Dollar Per Malaysian Ringgit
1995-02,Malaysian Ringgit,0.5696,Singapore Dollar Per Malaysian Ringgit
1995-03,Malaysian Ringgit,0.5576,Singapore Dollar Per Malaysian Ringgit
1995-04,Malaysian Ringgit,0.5638,Singapore Dollar Per Malaysian Ringgit
1995-05,Malaysian Ringgit,0.5647,Singapore Dollar Per Malaysian Ringgit
1995-06,Malaysian Ringgit,0.571,Singapore Dollar Per Malaysian Ringgit
1995-07,Malaysian Ringgit,0.5709,Singapore Dollar Per Malaysian Ringgit
1995-08,Malaysian Ringgit,0.5688,Singapore Dollar Per Malaysian Ringgit
1995-09,Malaysian Ringgit,0.5708,Singapore Dollar Per Malaysian Ringgit
1995-10,Malaysian Ringgit,0.5623,Singapore Dollar Per Malaysian Ringgit
1995-11,Malaysian Ringgit,0.5565,Singapore Dollar Per Malaysian Ringgit
1995-12,Malaysian Ringgit,0.5569,Singapore Dollar Per Malaysian Ringgit
1996-01,Malaysian Ringgit,0.556,Singapore Dollar Per Malaysian Ringgit
1996-02,Malaysian Ringgit,0.5544,Singapore Dollar Per Malaysian Ringgit
1996-03,Malaysian Ringgit,0.5541,Singapore Dollar Per Malaysian Ringgit
1996-04,Malaysian Ringgit,0.5607,Singapore Dollar Per Malaysian Ringgit
1996-05,Malaysian Ringgit,0.5647,Singapore Dollar Per Malaysian Ringgit
1996-06,Malaysian Ringgit,0.5645,Singapore Dollar Per Malaysian Ringgit
1996-07,Malaysian Ringgit,0.5683,Singapore Dollar Per Malaysian Ringgit
1996-08,Malaysian Ringgit,0.5667,Singapore Dollar Per Malaysian Ringgit
1996-09,Malaysian Ringgit,0.5632,Singapore Dollar Per Malaysian Ringgit
1996-10,Malaysian Ringgit,0.5635,Singapore Dollar Per Malaysian Ringgit
1996-11,Malaysian Ringgit,0.5558,Singapore Dollar Per Malaysian Ringgit
1996-12,Malaysian Ringgit,0.5545,Singapore Dollar Per Malaysian Ringgit
1997-01,Malaysian Ringgit,0.5649,Singapore Dollar Per Malaysian Ringgit
1997-02,Malaysian Ringgit,0.5709,Singapore Dollar Per Malaysian Ringgit
1997-03,Malaysian Ringgit,0.5798,Singapore Dollar Per Malaysian Ringgit
1997-04,Malaysian Ringgit,0.5763,Singapore Dollar Per Malaysian Ringgit
1997-05,Malaysian Ringgit,0.5728,Singapore Dollar Per Malaysian Ringgit
1997-06,Malaysian Ringgit,0.5672,Singapore Dollar Per Malaysian Ringgit
1997-07,Malaysian Ringgit,0.5635,Singapore Dollar Per Malaysian Ringgit
1997-08,Malaysian Ringgit,0.5451,Singapore Dollar Per Malaysian Ringgit
1997-09,Malaysian Ringgit,0.5045,Singapore Dollar Per Malaysian Ringgit
1997-10,Malaysian Ringgit,0.4744,Singapore Dollar Per Malaysian Ringgit
1997-11,Malaysian Ringgit,0.4676,Singapore Dollar Per Malaysian Ringgit
1997-12,Malaysian Ringgit,0.4367,Singapore Dollar Per Malaysian Ringgit
1998-01,Malaysian Ringgit,0.399,Singapore Dollar Per Malaysian Ringgit
1998-02,Malaysian Ringgit,0.4321,Singapore Dollar Per Malaysian Ringgit
1998-03,Malaysian Ringgit,0.4329,Singapore Dollar Per Malaysian Ringgit
1998-04,Malaysian Ringgit,0.4281,Singapore Dollar Per Malaysian Ringgit
1998-05,Malaysian Ringgit,0.4297,Singapore Dollar Per Malaysian Ringgit
1998-06,Malaysian Ringgit,0.4243,Singapore Dollar Per Malaysian Ringgit
1998-07,Malaysian Ringgit,0.411,Singapore Dollar Per Malaysian Ringgit
1998-08,Malaysian Ringgit,0.4176,Singapore Dollar Per Malaysian Ringgit
1998-09,Malaysian Ringgit,0.4529,Singapore Dollar Per Malaysian Ringgit
1998-10,Malaysian Ringgit,0.4317,Singapore Dollar Per Malaysian Ringgit
1998-11,Malaysian Ringgit,0.4313,Singapore Dollar Per Malaysian Ringgit
1998-12,Malaysian Ringgit,0.435,Singapore Dollar Per Malaysian Ringgit
1999-01,Malaysian Ringgit,0.4416,Singapore Dollar Per Malaysian Ringgit
1999-02,Malaysian Ringgit,0.4469,Singapore Dollar Per Malaysian Ringgit
1999-03,Malaysian Ringgit,0.4551,Singapore Dollar Per Malaysian Ringgit
1999-04,Malaysian Ringgit,0.4509,Singapore Dollar Per Malaysian Ringgit
1999-05,Malaysian Ringgit,0.4506,Singapore Dollar Per Malaysian Ringgit
1999-06,Malaysian Ringgit,0.4506,Singapore Dollar Per Malaysian Ringgit
1999-07,Malaysian Ringgit,0.4464,Singapore Dollar Per Malaysian Ringgit
1999-08,Malaysian Ringgit,0.442,Singapore Dollar Per Malaysian Ringgit
1999-09,Malaysian Ringgit,0.4463,Singapore Dollar Per Malaysian Ringgit
1999-10,Malaysian Ringgit,0.4412,Singapore Dollar Per Malaysian Ringgit
1999-11,Malaysian Ringgit,0.4396,Singapore Dollar Per Malaysian Ringgit
1999-12,Malaysian Ringgit,0.4407,Singapore Dollar Per Malaysian Ringgit
2000-01,Malaysian Ringgit,0.4403,Singapore Dollar Per Malaysian Ringgit
2000-02,Malaysian Ringgit,0.4475,Singapore Dollar Per Malaysian Ringgit
2000-03,Malaysian Ringgit,0.4514,Singapore Dollar Per Malaysian Ringgit
2000-04,Malaysian Ringgit,0.4499,Singapore Dollar Per Malaysian Ringgit
2000-05,Malaysian Ringgit,0.4548,Singapore Dollar Per Malaysian Ringgit
2000-06,Malaysian Ringgit,0.4547,Singapore Dollar Per Malaysian Ringgit
2000-07,Malaysian Ringgit,0.458,Singapore Dollar Per Malaysian Ringgit
2000-08,Malaysian Ringgit,0.4526,Singapore Dollar Per Malaysian Ringgit
2000-09,Malaysian Ringgit,0.4574,Singapore Dollar Per Malaysian Ringgit
2000-10,Malaysian Ringgit,0.4609,Singapore Dollar Per Malaysian Ringgit
2000-11,Malaysian Ringgit,0.4597,Singapore Dollar Per Malaysian Ringgit
2000-12,Malaysian Ringgit,0.457,Singapore Dollar Per Malaysian Ringgit
2001-01,Malaysian Ringgit,0.457,Singapore Dollar Per Malaysian Ringgit
2001-02,Malaysian Ringgit,0.4587,Singapore Dollar Per Malaysian Ringgit
2001-03,Malaysian Ringgit,0.466,Singapore Dollar Per Malaysian Ringgit
2001-04,Malaysian Ringgit,0.4767,Singapore Dollar Per Malaysian Ringgit
2001-05,Malaysian Ringgit,0.4772,Singapore Dollar Per Malaysian Ringgit
2001-06,Malaysian Ringgit,0.4778,Singapore Dollar Per Malaysian Ringgit
2001-07,Malaysian Ringgit,0.4799,Singapore Dollar Per Malaysian Ringgit
2001-08,Malaysian Ringgit,0.4636,Singapore Dollar Per Malaysian Ringgit
2001-09,Malaysian Ringgit,0.4601,Singapore Dollar Per Malaysian Ringgit
2001-10,Malaysian Ringgit,0.476,Singapore Dollar Per Malaysian Ringgit
2001-11,Malaysian Ringgit,0.4814,Singapore Dollar Per Malaysian Ringgit
2001-12,Malaysian Ringgit,0.4835,Singapore Dollar Per Malaysian Ringgit
2002-01,Malaysian Ringgit,0.4839,Singapore Dollar Per Malaysian Ringgit
2002-02,Malaysian Ringgit,0.4819,Singapore Dollar Per Malaysian Ringgit
2002-03,Malaysian Ringgit,0.4812,Singapore Dollar Per Malaysian Ringgit
2002-04,Malaysian Ringgit,0.4813,Singapore Dollar Per Malaysian Ringgit
2002-05,Malaysian Ringgit,0.4736,Singapore Dollar Per Malaysian Ringgit
2002-06,Malaysian Ringgit,0.4693,Singapore Dollar Per Malaysian Ringgit
2002-07,Malaysian Ringgit,0.4611,Singapore Dollar Per Malaysian Ringgit
2002-08,Malaysian Ringgit,0.4618,Singapore Dollar Per Malaysian Ringgit
2002-09,Malaysian Ringgit,0.4646,Singapore Dollar Per Malaysian Ringgit
2002-10,Malaysian Ringgit,0.47,Singapore Dollar Per Malaysian Ringgit
2002-11,Malaysian Ringgit,0.4645,Singapore Dollar Per Malaysian Ringgit
2002-12,Malaysian Ringgit,0.4613,Singapore Dollar Per Malaysian Ringgit
2003-01,Malaysian Ringgit,0.4567,Singapore Dollar Per Malaysian Ringgit
2003-02,Malaysian Ringgit,0.4594,Singapore Dollar Per Malaysian Ringgit
2003-03,Malaysian Ringgit,0.4612,Singapore Dollar Per Malaysian Ringgit
2003-04,Malaysian Ringgit,0.4675,Singapore Dollar Per Malaysian Ringgit
2003-05,Malaysian Ringgit,0.4564,Singapore Dollar Per Malaysian Ringgit
2003-06,Malaysian Ringgit,0.4564,Singapore Dollar Per Malaysian Ringgit
2003-07,Malaysian Ringgit,0.4619,Singapore Dollar Per Malaysian Ringgit
2003-08,Malaysian Ringgit,0.4614,Singapore Dollar Per Malaysian Ringgit
2003-09,Malaysian Ringgit,0.4595,Singapore Dollar Per Malaysian Ringgit
2003-10,Malaysian Ringgit,0.4561,Singapore Dollar Per Malaysian Ringgit
2003-11,Malaysian Ringgit,0.455,Singapore Dollar Per Malaysian Ringgit
2003-12,Malaysian Ringgit,0.4502,Singapore Dollar Per Malaysian Ringgit
2004-01,Malaysian Ringgit,0.447,Singapore Dollar Per Malaysian Ringgit
2004-02,Malaysian Ringgit,0.4437,Singapore Dollar Per Malaysian Ringgit
2004-03,Malaysian Ringgit,0.4473,Singapore Dollar Per Malaysian Ringgit
2004-04,Malaysian Ringgit,0.4432,Singapore Dollar Per Malaysian Ringgit
2004-05,Malaysian Ringgit,0.45,Singapore Dollar Per Malaysian Ringgit
2004-06,Malaysian Ringgit,0.4506,Singapore Dollar Per Malaysian Ringgit
2004-07,Malaysian Ringgit,0.4505,Singapore Dollar Per Malaysian Ringgit
2004-08,Malaysian Ringgit,0.4511,Singapore Dollar Per Malaysian Ringgit
2004-09,Malaysian Ringgit,0.4463,Singapore Dollar Per Malaysian Ringgit
2004-10,Malaysian Ringgit,0.4415,Singapore Dollar Per Malaysian Ringgit
2004-11,Malaysian Ringgit,0.4345,Singapore Dollar Per Malaysian Ringgit
2004-12,Malaysian Ringgit,0.432,Singapore Dollar Per Malaysian Ringgit
2005-01,Malaysian Ringgit,0.4311,Singapore Dollar Per Malaysian Ringgit
2005-02,Malaysian Ringgit,0.431,Singapore Dollar Per Malaysian Ringgit
2005-03,Malaysian Ringgit,0.4292,Singapore Dollar Per Malaysian Ringgit
2005-04,Malaysian Ringgit,0.4351,Singapore Dollar Per Malaysian Ringgit
2005-05,Malaysian Ringgit,0.4345,Singapore Dollar Per Malaysian Ringgit
2005-06,Malaysian Ringgit,0.4399,Singapore Dollar Per Malaysian Ringgit
2005-07,Malaysian Ringgit,0.4445,Singapore Dollar Per Malaysian Ringgit
2005-08,Malaysian Ringgit,0.4421,Singapore Dollar Per Malaysian Ringgit
2005-09,Malaysian Ringgit,0.446,Singapore Dollar Per Malaysian Ringgit
2005-10,Malaysian Ringgit,0.4481,Singapore Dollar Per Malaysian Ringgit
2005-11,Malaysian Ringgit,0.4495,Singapore Dollar Per Malaysian Ringgit
2005-12,Malaysian Ringgit,0.4434,Singapore Dollar Per Malaysian Ringgit
2006-01,Malaysian Ringgit,0.4352,Singapore Dollar Per Malaysian Ringgit
2006-02,Malaysian Ringgit,0.4371,Singapore Dollar Per Malaysian Ringgit
2006-03,Malaysian Ringgit,0.4378,Singapore Dollar Per Malaysian Ringgit
2006-04,Malaysian Ringgit,0.4372,Singapore Dollar Per Malaysian Ringgit
2006-05,Malaysian Ringgit,0.4363,Singapore Dollar Per Malaysian Ringgit
2006-06,Malaysian Ringgit,0.4339,Singapore Dollar Per Malaysian Ringgit
2006-07,Malaysian Ringgit,0.4316,Singapore Dollar Per Malaysian Ringgit
2006-08,Malaysian Ringgit,0.4288,Singapore Dollar Per Malaysian Ringgit
2006-09,Malaysian Ringgit,0.43,Singapore Dollar Per Malaysian Ringgit
2006-10,Malaysian Ringgit,0.4292,Singapore Dollar Per Malaysian Ringgit
2006-11,Malaysian Ringgit,0.4272,Singapore Dollar Per Malaysian Ringgit
2006-12,Malaysian Ringgit,0.4336,Singapore Dollar Per Malaysian Ringgit
2007-01,Malaysian Ringgit,0.4384,Singapore Dollar Per Malaysian Ringgit
2007-02,Malaysian Ringgit,0.4387,Singapore Dollar Per Malaysian Ringgit
2007-03,Malaysian Ringgit,0.4367,Singapore Dollar Per Malaysian Ringgit
2007-04,Malaysian Ringgit,0.4407,Singapore Dollar Per Malaysian Ringgit
2007-05,Malaysian Ringgit,0.4474,Singapore Dollar Per Malaysian Ringgit
2007-06,Malaysian Ringgit,0.446,Singapore Dollar Per Malaysian Ringgit
2007-07,Malaysian Ringgit,0.4405,Singapore Dollar Per Malaysian Ringgit
2007-08,Malaysian Ringgit,0.437,Singapore Dollar Per Malaysian Ringgit
2007-09,Malaysian Ringgit,0.4354,Singapore Dollar Per Malaysian Ringgit
2007-10,Malaysian Ringgit,0.4342,Singapore Dollar Per Malaysian Ringgit
2007-11,Malaysian Ringgit,0.431,Singapore Dollar Per Malaysian Ringgit
2007-12,Malaysian Ringgit,0.4346,Singapore Dollar Per Malaysian Ringgit
2008-01,Malaysian Ringgit,0.4379,Singapore Dollar Per Malaysian Ringgit
2008-02,Malaysian Ringgit,0.4377,Singapore Dollar Per Malaysian Ringgit
2008-03,Malaysian Ringgit,0.4348,Singapore Dollar Per Malaysian Ringgit
2008-04,Malaysian Ringgit,0.4315,Singapore Dollar Per Malaysian Ringgit
2008-05,Malaysian Ringgit,0.4247,Singapore Dollar Per Malaysian Ringgit
2008-06,Malaysian Ringgit,0.4197,Singapore Dollar Per Malaysian Ringgit
2008-07,Malaysian Ringgit,0.4181,Singapore Dollar Per Malaysian Ringgit
2008-08,Malaysian Ringgit,0.4216,Singapore Dollar Per Malaysian Ringgit
2008-09,Malaysian Ringgit,0.4153,Singapore Dollar Per Malaysian Ringgit
2008-10,Malaysian Ringgit,0.419,Singapore Dollar Per Malaysian Ringgit
2008-11,Malaysian Ringgit,0.42,Singapore Dollar Per Malaysian Ringgit
2008-12,Malaysian Ringgit,0.4165,Singapore Dollar Per Malaysian Ringgit
2009-01,Malaysian Ringgit,0.4173,Singapore Dollar Per Malaysian Ringgit
2009-02,Malaysian Ringgit,0.4175,Singapore Dollar Per Malaysian Ringgit
2009-03,Malaysian Ringgit,0.4164,Singapore Dollar Per Malaysian Ringgit
2009-04,Malaysian Ringgit,0.4168,Singapore Dollar Per Malaysian Ringgit
2009-05,Malaysian Ringgit,0.4149,Singapore Dollar Per Malaysian Ringgit
2009-06,Malaysian Ringgit,0.4128,Singapore Dollar Per Malaysian Ringgit
2009-07,Malaysian Ringgit,0.4088,Singapore Dollar Per Malaysian Ringgit
2009-08,Malaysian Ringgit,0.4098,Singapore Dollar Per Malaysian Ringgit
2009-09,Malaysian Ringgit,0.4074,Singapore Dollar Per Malaysian Ringgit
2009-10,Malaysian Ringgit,0.4108,Singapore Dollar Per Malaysian Ringgit
2009-11,Malaysian Ringgit,0.4098,Singapore Dollar Per Malaysian Ringgit
2009-12,Malaysian Ringgit,0.4091,Singapore Dollar Per Malaysian Ringgit
2010-01,Malaysian Ringgit,0.4137,Singapore Dollar Per Malaysian Ringgit
2010-02,Malaysian Ringgit,0.4136,Singapore Dollar Per Malaysian Ringgit
